day,run_id,n_classes,class_size_cap,n_students,n_teachers,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,K_mean,K_p10,K_p50,K_p90,A_mean,A_p10,A_p50,A_p90,incidents_total,time_lost_mean
45,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9368800402648426,0.9110921248520503,0.9399104912440411,0.9595674095842041,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,22,0.08800000000000001
46,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9388047591876332,0.9149603117982346,0.9414788701387091,0.9605499263439881,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.07600000000000001
47,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9405643599891214,0.9184264386452102,0.9430523960895985,0.961585551993305,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,22,0.08800000000000002
48,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9423330443051098,0.9205447435448416,0.9447391127986471,0.9626912424447963,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,14,0.056
49,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9439892389069793,0.9235345993713338,0.9467242742571487,0.9637730270986612,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,14,0.05600000000000001
50,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.945463738022811,0.9259645717419407,0.9486027150741714,0.9642883361454403,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,18,0.072
51,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9467378053300882,0.9279069349641104,0.9493216424077386,0.9645589737448498,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,26,0.104
52,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.947990112569365,0.9300576221168703,0.9503881506394909,0.9649549931665469,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,23,0.092
53,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9491786593487953,0.9322436024084488,0.9513550578501999,0.9653865657438555,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,22,0.08800000000000001
54,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9504324896100665,0.9339015562297717,0.952234920864907,0.9661545182813502,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,11,0.044
55,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9515274398819275,0.9360906488551302,0.9529766655018366,0.9662392443896015,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,19,0.07600000000000001
56,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9525898164853278,0.937921918057235,0.9542251029714102,0.9668209236771427,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,15,0.060000000000000005
57,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9535455145717883,0.9394407912060262,0.9549212070597733,0.9671835391065072,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,17,0.068
58,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9544472290346268,0.9405075805224719,0.9560472985182586,0.9676166344150549,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,18,0.07200000000000001
59,1,10,12,120,10,30.0,0.05,0.002,90,12004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,0.9552452904732561,0.940991081834606,0.9565152334652278,0.9682568102054098,0.3491313391463379,0.12591234760328193,0.34109923520291696,0.5713005038987384,22,0.08800000000000001
