run_id,n_classes,class_size_cap,n_students,n_teachers,teacher_time_budget,alpha,forgetting,n_days,seed,teacher_skill_mean,teacher_skill_sd,inc_c0,inc_c_class,inc_c_B,base_loss,max_loss,agency_amp_min,agency_amp_max,beta_success,gamma_failure,success_eps,n_days,K_mean_start,A_mean_start,K_mean_end,K_p10_end,K_p50_end,K_p90_end,A_mean_end,A_p10_end,A_p50_end,A_p90_end,K_mean_gain,A_mean_gain,incidents_avg_per_day,incidents_total,time_lost_avg,time_lost_max
45,10,20,200,10,30.0,0.05,0.002,90,20008,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.43360010929875187,0.3491662696763671,0.9180843059717602,0.8925286416536347,0.9198513535837838,0.9427563485904156,0.3491662696763671,0.14009847569909106,0.3222634104914047,0.6095940255193738,0.4844841966730083,0.0,42.233333333333334,3801,0.16893333333333335,0.23999999999999996
46,10,20,200,10,30.0,0.05,0.002,90,20009,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.41303182017528484,0.34360434173473947,0.909347457600226,0.8831267979949871,0.9123296434533681,0.9327079670286964,0.34360434173473947,0.12967296133286332,0.3159034065679811,0.6179752037830838,0.4963156374249411,0.0,43.46666666666667,3912,0.17386666666666667,0.23200000000000004
47,10,20,200,10,30.0,0.05,0.002,90,20010,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.44268397688631445,0.3071120152944246,0.920765890517817,0.898378669965374,0.9224274816324551,0.9425417815449938,0.3071120152944246,0.11089002552924365,0.28109277582854475,0.5257139029417459,0.47808191363150254,0.0,42.733333333333334,3846,0.17093333333333333,0.21200000000000002
48,10,20,200,10,30.0,0.05,0.002,90,20011,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.41462276433422873,0.3206400513727856,0.9184489128464881,0.8946852937625346,0.9200240235242685,0.9427166958043979,0.3206400513727856,0.08896800637295964,0.2981407581652702,0.569538021638036,0.5038261485122594,0.0,42.3,3807,0.1692,0.22400000000000003
49,10,20,200,10,30.0,0.05,0.002,90,20012,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.4088153377910075,0.31836222818905197,0.9191432091387639,0.8920787719833682,0.9204494725692578,0.9401968901392828,0.31836222818905197,0.11300042717772181,0.32165860602059915,0.5647384172623082,0.5103278713477564,0.0,43.98888888888889,3959,0.17595555555555556,0.24
50,10,20,200,10,30.0,0.05,0.002,90,20013,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.44006157341236046,0.3247014229869357,0.9175598208599848,0.8901076744657737,0.9200578838132598,0.9388434289514374,0.3247014229869357,0.10733227391704332,0.30726000376399937,0.5274436680121242,0.4774982474476243,0.0,41.91111111111111,3772,0.16764444444444446,0.21200000000000002
51,10,22,220,10,30.0,0.05,0.002,90,22004,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.40969573554547883,0.3507921921314875,0.9015127629452504,0.865147620285159,0.9025161699526201,0.9272801215858262,0.3507921921314875,0.12377115700773278,0.33814818116585593,0.6036662429708377,0.49181702739977157,0.0,51.78888888888889,4661,0.20715555555555556,0.264
52,10,22,220,10,30.0,0.05,0.002,90,22005,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.40172207262028553,0.3391474809294773,0.8949336256672293,0.8619990725065373,0.9005222102154049,0.9219776254984978,0.3391474809294773,0.10299650040449405,0.3295062920558524,0.5731072050025403,0.4932115530469438,0.0,51.422222222222224,4628,0.2056888888888889,0.28
53,10,22,220,10,30.0,0.05,0.002,90,22006,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.41396767760880626,0.33035770248546825,0.8973161487724957,0.8632571676459555,0.900267138007976,0.926524443933826,0.33035770248546825,0.10595560078502585,0.3187442724050005,0.5820245289985579,0.4833484711636894,0.0,50.48888888888889,4544,0.20195555555555558,0.268
54,10,22,220,10,30.0,0.05,0.002,90,22007,0.8,0.1,-2.7,0.05,1.0,0.04,0.8,0.5,1.0,0.01,0.006,1e-06,90,0.41409036046811126,0.33589347554064763,0.8997031655157118,0.8689205525860454,0.9035427636845712,0.9271046038119215,0.33589347554064763,0.11348466011317218,0.32372450168365596,0.5744109385616859,0.48561280504760057,0.0,50.455555555555556,4541,0.20182222222222224,0.27199999999999996
